model,target,fold,mse,rmse,mae,median_ae,max_error,r2,adj_r2,explained_var,mape,smape,sign_accuracy,threshold,threshold_precision,threshold_recall,threshold_f1,false_change_rate,missed_change_rate,stability_score
ridge,delta_other,0,0.0026750959163948053,0.05172132941441863,0.02161125325425221,0.008474454639785621,0.7114314217006847,0.11726011984434326,0.11432309251665351,0.11747366813017435,102019785.6843133,181.63112400256898,0.16419010192803635,0.05,0.42168674698795183,0.21341463414634146,0.2834008097165992,0.025644450380659812,0.7865853658536586,0.8958614761144541
lgbm,delta_other,0,0.002229188029127855,0.047214277810084686,0.017125533072125755,0.0023742305491951743,0.7076052187500939,0.26440275968544746,0.26195530121489996,0.2645586311247963,65014400.54147892,182.0493620958252,0.16357607761267345,0.05,0.4718934911242604,0.48628048780487804,0.478978978978979,0.04768264992653933,0.5137195121951219,0.8755986737074788
ridge,delta_other,1,0.0023691983958425917,0.04867441212631737,0.020888373189898234,0.008419443481662948,0.6849899385870589,0.082120210840957,0.07906701947625405,0.08337491202855563,114714747.29205577,182.7351188112712,0.1500306936771025,0.05,0.2821011673151751,0.26851851851851855,0.27514231499051234,0.0485207100591716,0.7314814814814815,0.8883977900552487
lgbm,delta_other,1,0.0021649837322952684,0.0465293856857714,0.017450677763870687,0.002347075007011675,0.6347508257626865,0.16123748217159983,0.15844746270857568,0.16519695265702483,80189881.69715662,183.88343602013487,0.15027624309392265,0.05,0.3904109589041096,0.5277777777777778,0.4488188976377953,0.05851413543721236,0.4722222222222222,0.8790669122160835
ridge,delta_other,2,0.002277132860596764,0.04771931328714574,0.021081202490395884,0.009596274435468583,0.6618586792951712,0.0937599855279434,0.09074662587391069,0.09935839624160914,120679574.42331997,183.08352694835645,0.14371624938635247,0.05,0.29711751662971175,0.28879310344827586,0.292896174863388,0.04125455491931286,0.7112068965517241,0.9041482572410408
lgbm,delta_other,2,0.0019735843331341266,0.04442504173474828,0.016560593622799585,0.002945983106473584,0.572589253411256,0.21456445270717517,0.21195278278391083,0.21717341187681694,74355011.66675663,184.6750883468826,0.14150711831124202,0.05,0.36596385542168675,0.5237068965517241,0.43085106382978716,0.05478917230609058,0.47629310344827586,0.8913843888070693
ridge,delta_other,3,0.004188130188324233,0.06471576460433913,0.025041992127375977,0.00986099432241617,0.9769838282859187,0.10624166380900879,0.10326834258215367,0.1072547528819805,106691449.02369773,179.45705948440477,0.18136051080550097,0.05,0.46318289786223277,0.2689655172413793,0.3403141361256544,0.030462326459091523,0.7310344827586207,0.8832269155206287
lgbm,delta_other,3,0.0036588649729629337,0.060488552412526236,0.02055864537136003,0.002821728851223069,0.9558208066367464,0.21918829560279118,0.21659072093316023,0.22041595122104918,64498095.835876875,181.27018878389913,0.18013261296660119,0.05,0.4757834757834758,0.4606896551724138,0.46811492641906094,0.049602372287370265,0.5393103448275862,0.8657907662082515
ridge,delta_other,4,0.003534014881991867,0.0594475809599673,0.02400134420732213,0.00959867128273059,0.856369828618785,0.11496728805374523,0.11202408282864995,0.11636651743555737,107575433.08313423,180.17906440124187,0.17626120044188046,0.05,0.4142857142857143,0.24507042253521127,0.30796460176991153,0.03307785397337636,0.7549295774647887,0.8826561924634835
lgbm,delta_other,4,0.002984428899156661,0.0546299267723897,0.01922657303481724,0.00332242997298163,0.8340208551643065,0.2526015621239611,0.2501160641780745,0.25389712148136867,66038517.70203583,180.91123812469357,0.17417454277648214,0.05,0.5067669172932331,0.47464788732394364,0.4901818181818182,0.04410380529783515,0.5253521126760563,0.8725911378421505
