cell_id,block_id,year,valid_frac,dominant_class,y_true,y_pred,abs_error,task,target,pair_id,valid_frac_min
29731,25769803791,2020.0,0.8264462809917356,veg,0.15,0.9574924244460582,0.8074924244460582,composition,built_prop,,
28515,73014444047,2021.0,0.8264462809917356,built,0.86,0.05412771269959251,0.8058722873004075,composition,built_prop,,
31058,25769803792,2021.0,0.8264462809917356,water,0.19,0.9922205672110663,0.8022205672110663,composition,built_prop,,
41302,42949672982,2021.0,0.8264462809917356,veg,0.09,0.8908526428111038,0.8008526428111038,composition,built_prop,,
6214,73014444035,2021.0,0.8264462809917356,built,0.87,0.07452874184449826,0.7954712581555017,composition,built_prop,,
26300,12884901902,2021.0,0.8264462809917356,veg,0.17,0.9608391673619623,0.7908391673619622,composition,built_prop,,
32358,17179869201,2020.0,0.8264462809917356,other,0.0,1.0131071162599372,1.0131071162599372,composition,veg_prop,,
28965,21474836495,2020.0,0.8264462809917356,veg,1.0,0.0740528233388381,0.9259471766611619,composition,veg_prop,,
24025,8589934604,2021.0,0.8264462809917356,built,0.02,0.8897930201713233,0.8697930201713233,composition,veg_prop,,
32926,17179869201,2020.0,0.8264462809917356,other,0.02,0.8849665522403756,0.8649665522403756,composition,veg_prop,,
32169,17179869201,2020.0,0.8264462809917356,other,0.11,0.949874823073925,0.839874823073925,composition,veg_prop,,
32925,17179869201,2020.0,0.8264462809917356,other,0.11,0.9358755588895457,0.8258755588895457,composition,veg_prop,,
26300,12884901902,2021.0,0.8264462809917356,veg,0.83,0.004294976875844082,0.8257050231241558,composition,veg_prop,,
36128,12884901907,2021.0,0.8264462809917356,veg,1.0,0.18394822768456215,0.8160517723154379,composition,veg_prop,,
20246,8589934602,2020.0,0.8264462809917356,other,0.11,0.9232541929793646,0.8132541929793646,composition,veg_prop,,
28214,21474836495,2020.0,0.8264462809917356,veg,0.88,0.07167820856616668,0.8083217914338333,composition,veg_prop,,
29893,12884901904,2021.0,0.8264462809917356,veg,1.0,0.19505055484867811,0.8049494451513219,composition,veg_prop,,
31959,8589934609,2021.0,0.8264462809917356,veg,0.94,0.1354417752710083,0.8045582247289916,composition,veg_prop,,
27859,34359738382,2021.0,0.8264462809917356,built,0.04,0.8320276862686029,0.7920276862686029,composition,veg_prop,,
29731,25769803791,2020.0,0.8264462809917356,veg,0.82,0.03322738682491073,0.7867726131750892,composition,veg_prop,,
14130,64424509447,2020.0,0.8264462809917356,veg,1.0,0.21484068271587192,0.785159317284128,composition,veg_prop,,
39136,4294967316,2021.0,0.8264462809917356,veg,1.0,0.21700988665376209,0.7829901133462379,composition,veg_prop,,
25499,73014444045,2020.0,0.8264462809917356,other,0.07,0.8516479502471691,0.7816479502471692,composition,veg_prop,,
27062,17179869198,2020.0,0.8264462809917356,veg,0.99,0.20944488027981553,0.7805551197201844,composition,veg_prop,,
26093,4294967310,2021.0,0.8264462809917356,built,0.15,0.927339896726302,0.777339896726302,composition,veg_prop,,
33463,4294967313,2021.0,0.8264462809917356,veg,1.0,0.22380086930608248,0.7761991306939175,composition,veg_prop,,
28564,12884901903,2021.0,0.8264462809917356,veg,0.97,0.19500119625142082,0.7749988037485791,composition,veg_prop,,
28515,73014444047,2021.0,0.8264462809917356,built,0.14,0.9108318165926726,0.7708318165926726,composition,veg_prop,,
17676,42949672969,2021.0,0.8264462809917356,veg,0.96,0.1895964535640505,0.7704035464359494,composition,veg_prop,,
28408,25769803791,2021.0,0.8264462809917356,veg,1.0,0.23570694235537973,0.7642930576446203,composition,veg_prop,,
33464,4294967313,2021.0,0.8264462809917356,veg,1.0,0.23676375308841538,0.7632362469115846,composition,veg_prop,,
31059,25769803792,2021.0,0.8264462809917356,water,0.9,-0.01280562795668164,0.9128056279566816,composition,water_prop,,
31058,25769803792,2021.0,0.8264462809917356,water,0.81,-0.017489147296127595,0.8274891472961277,composition,water_prop,,
31057,25769803792,2021.0,0.8264462809917356,water,0.74,-0.0005108725177481263,0.7405108725177482,composition,water_prop,,
30869,25769803792,2021.0,0.8264462809917356,water,0.6,-0.00045551428729373206,0.6004555142872937,composition,water_prop,,
30870,25769803792,2021.0,0.8264462809917356,water,0.59,-0.000893994341324369,0.5908939943413244,composition,water_prop,,
22380,34359738380,2020.0,0.8264462809917356,water,1.0,0.4100438955924062,0.5899561044075938,composition,water_prop,,
23716,38654705676,2020.0,0.8264462809917356,water,0.68,0.12325160440660747,0.5567483955933926,composition,water_prop,,
22379,34359738380,2020.0,0.8264462809917356,water,0.99,0.43415882631169966,0.5558411736883003,composition,water_prop,,
22190,34359738379,2020.0,0.8264462809917356,water,1.0,0.44826451688855534,0.5517354831114447,composition,water_prop,,
24376,81604378637,2020.0,0.4132231404958678,water,0.6,0.06316841925814898,0.536831580741851,composition,water_prop,,
22381,34359738380,2020.0,0.8264462809917356,water,0.65,0.15564315373518237,0.4943568462648177,composition,water_prop,,
2696,21474836481,2020.0,0.8264462809917356,water,0.63,0.14109671611663216,0.48890328388336785,composition,water_prop,,
19190,42949672970,2020.0,0.8264462809917356,water,0.5,0.014783126766429523,0.4852168732335705,composition,water_prop,,
13469,21474836487,2021.0,0.7603305785123967,water,0.77,0.2910995867668133,0.4789004132331867,composition,water_prop,,
21811,34359738379,2020.0,0.8264462809917356,water,0.51,0.035553020005089295,0.4744469799949107,composition,water_prop,,
18809,42949672970,2021.0,0.8264462809917356,veg,0.0,0.47311894492758616,0.47311894492758616,composition,water_prop,,
22189,34359738379,2020.0,0.8264462809917356,water,0.94,0.46723465167292644,0.4727653483270735,composition,water_prop,,
31060,30064771088,2021.0,0.8264462809917356,water,0.5,0.027432901193264525,0.4725670988067355,composition,water_prop,,
30868,25769803792,2021.0,0.8264462809917356,built,0.47,0.00021480118282375202,0.46978519881717623,composition,water_prop,,
23905,38654705676,2020.0,0.8264462809917356,water,0.6,0.13987896378216658,0.4601210362178334,composition,water_prop,,
24187,81604378636,2020.0,0.4132231404958678,water,0.52,0.08601146923549637,0.43398853076450367,composition,water_prop,,
23140,34359738380,2020.0,0.8264462809917356,water,0.7,0.2679409198673453,0.43205908013265465,composition,water_prop,,
24478,42949672973,2020.0,0.8264462809917356,veg,0.44,0.025466193897033963,0.41453380610296603,composition,water_prop,,
1564,21474836481,2021.0,0.8264462809917356,water,0.59,0.1763171510929892,0.4136828489070108,composition,water_prop,,
29432,60129542159,2020.0,0.8264462809917356,veg,0.0,0.4057369763408473,0.4057369763408473,composition,water_prop,,
32358,17179869201,2020.0,0.8264462809917356,other,1.0,-0.001605239286173205,1.0016052392861732,composition,other_prop,,
15229,47244640264,2020.0,0.4628099173553719,other,0.99,0.040057373961984326,0.9499426260380157,composition,other_prop,,
15040,47244640264,2020.0,0.8264462809917356,other,1.0,0.06216645015869089,0.9378335498413091,composition,other_prop,,
32926,17179869201,2020.0,0.8264462809917356,other,0.92,-0.001534153898395569,0.9215341538983957,composition,other_prop,,
33076,17,2020.0,0.14049586776859505,other,0.9411764705882353,0.029762292672988546,0.9114141779152467,composition,other_prop,,
28144,73014444047,2020.0,0.8264462809917356,other,0.96,0.07574087446450709,0.8842591255354929,composition,other_prop,,
32925,17179869201,2020.0,0.8264462809917356,other,0.89,0.015796020843980435,0.8742039791560196,composition,other_prop,,
32169,17179869201,2020.0,0.8264462809917356,other,0.89,0.021968390983184587,0.8680316090168154,composition,other_prop,,
15606,47244640264,2020.0,0.6611570247933884,other,0.96,0.12055406200536868,0.8394459379946313,composition,other_prop,,
28141,73014444047,2020.0,0.8264462809917356,other,0.9,0.0716472134822058,0.8283527865177942,composition,other_prop,,
32928,17179869201,2020.0,0.8264462809917356,other,0.83,0.0074555811106530165,0.8225444188893469,composition,other_prop,,
20246,8589934602,2020.0,0.8264462809917356,other,0.89,0.07433423403887011,0.8156657659611299,composition,other_prop,,
28142,73014444047,2020.0,0.8264462809917356,other,0.93,0.11734202463599323,0.8126579753640069,composition,other_prop,,
15416,47244640264,2020.0,0.8264462809917356,other,0.81,-0.00031868388039295114,0.810318683880393,composition,other_prop,,
15226,47244640264,2020.0,0.8264462809917356,other,0.79,0.018556009715701566,0.7714439902842984,composition,other_prop,,
2916,34359738369,2020.0,0.8264462809917356,other,0.95,0.1800207100381816,0.7699792899618183,composition,other_prop,,
32929,17179869201,2020.0,0.8264462809917356,other,0.75,-0.005390204744826383,0.7553902047448264,composition,other_prop,,
28143,73014444047,2020.0,0.8264462809917356,other,0.81,0.07934078956067485,0.7306592104393252,composition,other_prop,,
17676,42949672969,2021.0,0.8264462809917356,veg,0.0,0.7241022576423785,0.7241022576423785,composition,other_prop,,
32739,17179869201,2020.0,0.8264462809917356,other,0.73,0.005934193616692787,0.7240658063833072,composition,other_prop,,
35764,17179869203,2020.0,0.8264462809917356,other,0.76,0.043693094263735584,0.7163069057362644,composition,other_prop,,
32927,17179869201,2020.0,0.8264462809917356,other,0.72,0.004261015385231451,0.7157389846147685,composition,other_prop,,
14661,47244640263,2020.0,0.8264462809917356,other,0.73,0.015859259452126753,0.7141407405478732,composition,other_prop,,
25312,77309411341,2020.0,0.8264462809917356,other,0.84,0.1400696880810658,0.6999303119189342,composition,other_prop,,
30820,4294967312,2020.0,0.8264462809917356,other,0.71,0.010685157647881846,0.6993148423521182,composition,other_prop,,
31059,25769803792,,,,-0.85,0.005297082253773935,0.8552970822537739,change_regression,delta_built,2020_2021,0.1652892561983471
31057,25769803792,,,,-0.74,0.06074301372743596,0.800743013727436,change_regression,delta_built,2020_2021,0.4297520661157025
15229,47244640264,,,,0.67,-0.08488164767915038,0.7548816476791504,change_regression,delta_built,2020_2021,0.4628099173553719
31058,25769803792,,,,-0.6699999999999999,0.043021120499670815,0.7130211204996707,change_regression,delta_built,2020_2021,0.1652892561983471
31060,30064771088,,,,-0.55,0.13907406123324142,0.6890740612332414,change_regression,delta_built,2020_2021,0.4628099173553719
2807,68719476737,,,,-0.62,0.06586072711944146,0.6858607271194415,change_regression,delta_built,2020_2021,0.8264462809917356
30870,25769803792,,,,-0.6599999999999999,0.018948542539947745,0.6789485425399476,change_regression,delta_built,2020_2021,0.5289256198347108
28368,8589934607,,,,0.7,0.05813786902665531,0.6418621309733447,change_regression,delta_built,2020_2021,0.8264462809917356
30820,4294967312,,,,0.6399999999999999,0.009768381509543317,0.6302316184904566,change_regression,delta_built,2020_2021,0.8264462809917356
30869,25769803792,,,,-0.61,-0.018856583944593587,0.5911434160554064,change_regression,delta_built,2020_2021,0.628099173553719
28179,8589934607,,,,0.65,0.07918548471158919,0.5708145152884109,change_regression,delta_built,2020_2021,0.8264462809917356
14850,47244640264,,,,0.6,0.044574323595194844,0.5554256764048051,change_regression,delta_built,2020_2021,0.8264462809917356
31946,4294967313,,,,0.68,0.16354308467514234,0.5164569153248577,change_regression,delta_built,2020_2021,0.8264462809917356
15040,47244640264,,,,0.52,0.005140514997458925,0.5148594850025411,change_regression,delta_built,2020_2021,0.8264462809917356
19659,10,,,,-0.5,-0.010689908865477483,0.4893100911345225,change_regression,delta_built,2020_2021,0.24793388429752067
15198,34359738376,,,,-0.49000000000000005,-0.004218991364042008,0.485781008635958,change_regression,delta_built,2020_2021,0.8264462809917356
15039,47244640264,,,,0.47,-0.004853262522302879,0.47485326252230287,change_regression,delta_built,2020_2021,0.8264462809917356
17427,17179869193,,,,-0.49,-0.02107437013140126,0.46892562986859876,change_regression,delta_built,2020_2021,0.8264462809917356
12676,4294967302,,,,-0.33000000000000007,0.11732138578190714,0.4473213857819072,change_regression,delta_built,2020_2021,0.8264462809917356
31083,38654705680,,,,-0.43,0.01468732115396721,0.4446873211539672,change_regression,delta_built,2020_2021,0.8264462809917356
30868,25769803792,,,,-0.47,-0.03188744366954349,0.4381125563304565,change_regression,delta_built,2020_2021,0.7933884297520661
5309,8589934595,,,,-0.45999999999999996,-0.02237514531111888,0.43762485468888107,change_regression,delta_built,2020_2021,0.8264462809917356
32135,4294967313,,,,0.64,0.20532463153362976,0.4346753684663702,change_regression,delta_built,2020_2021,0.8264462809917356
28401,21474836495,,,,0.54,0.13831336696391966,0.4016866330360804,change_regression,delta_built,2020_2021,0.8264462809917356
22116,11,,,,0.44999999999999996,0.057514984964363663,0.39248501503563626,change_regression,delta_built,2020_2021,0.49586776859504134
32358,17179869201,,,,1.0,0.015156743847628445,0.9848432561523716,change_regression,delta_veg,2020_2021,0.8264462809917356
32925,17179869201,,,,0.89,-0.017192552971904185,0.9071925529719042,change_regression,delta_veg,2020_2021,0.8264462809917356
32926,17179869201,,,,0.9,-0.00010459364120365267,0.9001045936412037,change_regression,delta_veg,2020_2021,0.8264462809917356
20246,8589934602,,,,0.89,0.03427549882749247,0.8557245011725075,change_regression,delta_veg,2020_2021,0.8264462809917356
32928,17179869201,,,,0.8099999999999999,-0.0030457663249996115,0.8130457663249996,change_regression,delta_veg,2020_2021,0.8264462809917356
33076,17,,,,0.9411764705882353,0.13309079484193964,0.8080856757462956,change_regression,delta_veg,2020_2021,0.14049586776859505
32169,17179869201,,,,0.83,0.024634348575307233,0.8053656514246927,change_regression,delta_veg,2020_2021,0.8264462809917356
32739,17179869201,,,,0.72,-0.01670452153487221,0.7367045215348722,change_regression,delta_veg,2020_2021,0.8264462809917356
32929,17179869201,,,,0.75,0.024938527280812528,0.7250614727191875,change_regression,delta_veg,2020_2021,0.8264462809917356
32927,17179869201,,,,0.6699999999999999,-0.040177497768921225,0.7101774977689211,change_regression,delta_veg,2020_2021,0.8264462809917356
16142,34359738376,,,,0.91,0.20317804467853626,0.7068219553214637,change_regression,delta_veg,2020_2021,0.8264462809917356
25312,77309411341,,,,0.75,0.09603078224300422,0.6539692177569958,change_regression,delta_veg,2020_2021,0.8264462809917356
38024,17179869204,,,,0.64,-0.005328293617393701,0.6453282936173937,change_regression,delta_veg,2020_2021,0.8264462809917356
9495,21474836485,,,,-0.72,-0.07716199665361823,0.6428380033463817,change_regression,delta_veg,2020_2021,0.8264462809917356
32341,8589934609,,,,0.72,0.09141764128109206,0.6285823587189079,change_regression,delta_veg,2020_2021,0.8264462809917356
15953,34359738376,,,,0.73,0.11775778337644342,0.6122422166235566,change_regression,delta_veg,2020_2021,0.8264462809917356
32737,17179869201,,,,0.6200000000000001,0.008072585682138127,0.611927414317862,change_regression,delta_veg,2020_2021,0.8264462809917356
35764,17179869203,,,,0.76,0.14836979274836354,0.6116302072516364,change_regression,delta_veg,2020_2021,0.8264462809917356
33114,17179869201,,,,0.61,0.004426954663962544,0.6055730453360374,change_regression,delta_veg,2020_2021,0.8264462809917356
30442,4294967312,,,,0.7,0.09517503640987418,0.6048249635901257,change_regression,delta_veg,2020_2021,0.8264462809917356
20415,11,,,,0.65,0.05183130642793039,0.5981686935720696,change_regression,delta_veg,2020_2021,0.3305785123966942
34973,4294967314,,,,0.65,0.06393687129359554,0.5860631287064044,change_regression,delta_veg,2020_2021,0.8264462809917356
18915,8589934602,,,,0.69,0.11301198768082625,0.5769880123191737,change_regression,delta_veg,2020_2021,0.8264462809917356
2427,68719476737,,,,0.6599999999999999,0.08428109084344282,0.5757189091565571,change_regression,delta_veg,2020_2021,0.8264462809917356
31036,17179869200,,,,0.64,0.06495132566336459,0.5750486743366354,change_regression,delta_veg,2020_2021,0.8264462809917356
31059,25769803792,,,,0.9,-0.0017838922524051194,0.9017838922524052,change_regression,delta_water,2020_2021,0.1652892561983471
31058,25769803792,,,,0.81,0.002577555045810923,0.8074224449541891,change_regression,delta_water,2020_2021,0.1652892561983471
31057,25769803792,,,,0.74,0.0057724769028754735,0.7342275230971245,change_regression,delta_water,2020_2021,0.4297520661157025
30869,25769803792,,,,0.6,-0.0021087424482505836,0.6021087424482505,change_regression,delta_water,2020_2021,0.628099173553719
30870,25769803792,,,,0.59,-0.00474570013506002,0.59474570013506,change_regression,delta_water,2020_2021,0.5289256198347108
31060,30064771088,,,,0.5,-0.00061464684041516,0.5006146468404151,change_regression,delta_water,2020_2021,0.4628099173553719
30868,25769803792,,,,0.47,0.00313289009086947,0.4668671099091305,change_regression,delta_water,2020_2021,0.7933884297520661
29432,60129542159,,,,0.39,-0.003214284800878661,0.39321428480087867,change_regression,delta_water,2020_2021,0.8264462809917356
4966,21474836482,,,,0.4,0.02064552711146118,0.37935447288853885,change_regression,delta_water,2020_2021,0.8264462809917356
2765,51539607553,,,,0.37,0.048005332303980894,0.3219946676960191,change_regression,delta_water,2020_2021,0.6942148760330579
2493,17179869185,,,,0.31,0.002939831560373685,0.3070601684396263,change_regression,delta_water,2020_2021,0.8264462809917356
31197,4294967312,,,,0.27,5.686956983087659e-05,0.26994313043016915,change_regression,delta_water,2020_2021,0.8264462809917356
16032,68719476744,,,,0.25,-0.000900103084118454,0.2509001030841185,change_regression,delta_water,2020_2021,0.8264462809917356
18201,25769803785,,,,0.0,0.24957444634055934,0.24957444634055934,change_regression,delta_water,2020_2021,0.5619834710743802
38653,42949672980,,,,0.25,0.006472795989417844,0.24352720401058214,change_regression,delta_water,2020_2021,0.8264462809917356
42184,17179869206,,,,0.24,6.489593983372654e-05,0.23993510406016627,change_regression,delta_water,2020_2021,0.8264462809917356
29433,60129542159,,,,0.26,0.024852700364721033,0.23514729963527897,change_regression,delta_water,2020_2021,0.8264462809917356
6287,21474836483,,,,0.23,0.006845670377767431,0.22315432962223258,change_regression,delta_water,2020_2021,0.8264462809917356
28416,30064771087,,,,0.24,0.035551680655564695,0.2044483193444353,change_regression,delta_water,2020_2021,0.8264462809917356
22729,21474836492,,,,-0.19000000000000003,0.012826466580931914,0.20282646658093195,change_regression,delta_water,2020_2021,0.8264462809917356
