model,target,fold,mse,rmse,mae,median_ae,max_error,r2,adj_r2,explained_var,mape,smape
ridge,veg_prop,0,0.01911734215770574,0.13826547710005466,0.097670886442712,0.063076652026483,1.024339931484449,0.8331240082198685,0.8330317322352273,0.8332468145058604,44457412.94887805,27.64792898316129
lgbm,veg_prop,0,0.008827216252211868,0.09395326632007994,0.04722309678779885,0.00766851140757574,0.8160517723154379,0.9229469005370184,0.9229042931460645,0.9229487738874407,10705256.435765352,19.81121727595571
ridge,veg_prop,1,0.022245108061975265,0.1491479401868335,0.10068674475162348,0.0608163521628326,1.3428352155290202,0.8014962386099456,0.8013865006583172,0.8029576816794868,58111170.927955434,28.89968799198055
lgbm,veg_prop,1,0.008975813610802564,0.09474077058374902,0.04540789634771847,0.005633853524669258,0.8697930201713233,0.9199045130139887,0.9198602341821168,0.9200972633192249,11630482.659023566,19.952453071244268
ridge,veg_prop,2,0.02083145607154336,0.14433106412530658,0.1012303371432866,0.064641384893499,1.0446853902554878,0.8249644567598213,0.8248677282881793,0.8251669191237838,59620111.10168018,29.442908751820756
lgbm,veg_prop,2,0.008827749507847111,0.0939561041542651,0.04785095739805139,0.0077760291575891954,0.9259471766611619,0.9258251595381752,0.9257841688981067,0.925843657212258,12361387.64076863,21.489602300387496
ridge,veg_prop,3,0.023279955577938237,0.15257770341022386,0.10356933114846187,0.06496767974973583,1.3932934156221966,0.8037475119999717,0.8036390052797358,0.8041409125630188,60697844.28505574,29.595619457964556
lgbm,veg_prop,3,0.00931910030219737,0.09653548726865872,0.049194713567082236,0.010023022488110503,1.0131071162599372,0.9214389987083462,0.9213955628432753,0.9214587301194717,12564754.721051015,20.864276173368747
ridge,veg_prop,4,0.02124335581418713,0.14575100622015316,0.10249864719561877,0.06720433368925671,0.7944239605180139,0.8227186823822059,0.8226207008138836,0.8227633977569655,51897802.47108753,30.378507362425545
lgbm,veg_prop,4,0.009067750471553735,0.09522473665783347,0.04821990374036668,0.008905689084929613,0.8132541929793646,0.9243272689358787,0.9242854453925492,0.9243490018249808,10819181.850639196,21.3498183545705
ridge,water_prop,0,0.0009497116237166393,0.03081739157872774,0.01848576010261155,0.012316633454040615,0.6070617009216702,0.2511237929062057,0.250709693258636,0.25341613108580985,170996603.191057,198.6057974071421
lgbm,water_prop,0,0.00018433839202986764,0.013577127532356306,0.002076431904685614,0.00011397864473395004,0.43398853076450367,0.8546436282364757,0.8545632517713816,0.8547096488600094,11856689.05302244,198.16820385141995
ridge,water_prop,1,0.0013860023793230334,0.03722905289317784,0.019658338701654964,0.011852137003760053,0.9528660010664786,0.5093167033478895,0.5090454410831555,0.5093363962728965,174723589.50692177,197.75111023702112
lgbm,water_prop,1,0.00048485420971493276,0.022019405298847942,0.0030410003437245426,8.505695261303607e-05,0.9128056279566816,0.8283481575733085,0.8282532640486254,0.828397583763002,15115886.940426555,197.92184543759777
ridge,water_prop,2,0.0017675995614992311,0.04204283008432271,0.01939937690039269,0.011425135172006193,0.7103256189603238,0.6761935276125994,0.6760145850698335,0.6763370570330165,160214106.7698993,197.26208921066447
lgbm,water_prop,2,0.0002470440670335677,0.015717635542077175,0.002824948462870942,8.531411326830415e-05,0.38514887931951985,0.9547440101181475,0.9547190006677645,0.9547444322496248,13146764.700220475,197.53587651960203
ridge,water_prop,3,0.0015875431168579464,0.03984398470105552,0.02002704543126184,0.01193954443574371,0.6108823574589095,0.44204796982297323,0.44173948178564715,0.4420734518022904,170647657.80102134,197.57902283527918
lgbm,water_prop,3,0.0003327408268560212,0.01824118490822406,0.003117069357047492,0.00012191222742550872,0.5567483955933926,0.8830561400848479,0.8829914825876592,0.8830682465648111,14667364.075761652,197.66307314767505
ridge,water_prop,4,0.0020063468319258615,0.044792263081093166,0.021316547729594446,0.012261439877876024,0.7672322180644169,0.5095217262238309,0.5092506439059736,0.5097264533604169,174444892.59167784,197.27974160267922
